latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
51.568,-3.763,303.4,1.1,1,2017-04-25,0220,A,40,6.0NRT,277.2,10.5,N
49.018,25.713,312.3,3.6,1.8,2017-04-25,0830,T,72,6.0NRT,289.6,62.7,D
49.017,25.762,306.3,3.6,1.8,2017-04-25,0830,T,42,6.0NRT,288.7,40.6,D
49.011,25.705,309.9,3.6,1.8,2017-04-25,0830,T,69,6.0NRT,289.5,53.2,D
49.009,25.755,312.3,3.6,1.8,2017-04-25,0830,T,72,6.0NRT,289,67,D
47.626,34.328,302.5,1.3,1.1,2017-04-25,0830,T,36,6.0NRT,289.7,5.7,D
46.876,33.649,302.5,1.3,1.1,2017-04-25,0830,T,0,6.0NRT,290.8,5.1,D
36.894,34.703,313,1,1,2017-04-25,0830,T,61,6.0NRT,301.5,5.4,D
54.286,34.582,302.5,1.5,1.2,2017-04-25,0825,T,0,6.0NRT,282.3,8.5,D
50.497,34.815,319.8,1.3,1.1,2017-04-25,0825,T,70,6.0NRT,290.2,26.2,D
48.956,29.109,301.1,3.5,1.8,2017-04-25,1005,T,38,6.0NRT,284.9,27,D
52.16,10.421,301.1,1.4,1.2,2017-04-25,1005,T,15,6.0NRT,286.4,8.2,D
52.152,10.399,310.4,1.4,1.2,2017-04-25,1005,T,70,6.0NRT,286.2,17.7,D
47.992,21.491,301.3,1.6,1.2,2017-04-25,1005,T,23,6.0NRT,288,3.3,D
48.27,14.34,315.1,1,1,2017-04-25,1005,T,60,6.0NRT,297.3,9.8,D
46.347,18.28,310.4,1.3,1.1,2017-04-25,1005,T,64,6.0NRT,293.5,9.4,D
42.849,13.688,308.9,1,1,2017-04-25,1010,T,53,6.0NRT,295.3,4.7,D
41.953,15.01,311.4,1.1,1.1,2017-04-25,1010,T,62,6.0NRT,300.3,6,D
42.062,13.559,314.1,1,1,2017-04-25,1010,T,57,6.0NRT,302.5,6.1,D
41.806,12.328,308.8,1,1,2017-04-25,1010,T,45,6.0NRT,297.2,4.1,D
41.073,15.718,315.2,1.2,1.1,2017-04-25,1010,T,69,6.0NRT,304.7,11.2,D
35.073,6.458,320.2,1.3,1.1,2017-04-25,1010,T,61,6.0NRT,302.3,13.3,D
49.208,30.697,307,2.2,1.4,2017-04-25,1015,A,63,6.0NRT,291.9,14.9,D
48.951,29.118,302.4,2.6,1.6,2017-04-25,1015,A,49,6.0NRT,287.6,18,D
53.9,33.347,307,1.2,1.1,2017-04-25,1015,A,54,6.0NRT,282.5,11.7,D
53.897,33.329,343.6,1.2,1.1,2017-04-25,1015,A,93,6.0NRT,284.1,70.8,D
53.893,33.31,305.2,1.3,1.1,2017-04-25,1015,A,42,6.0NRT,283.7,10.1,D
58.336,33.976,303.2,1,1,2017-04-25,1015,A,21,6.0NRT,285.3,6,D
59.86,31.776,302.6,1.1,1,2017-04-25,1015,A,34,6.0NRT,280.3,7.1,D
39.366,16.244,314.8,1.2,1.1,2017-04-25,1150,A,67,6.0NRT,303.1,8,D
40.631,22.721,323.3,1.2,1.1,2017-04-25,1150,A,78,6.0NRT,303.1,14.2,D
40.629,22.706,317.7,1.2,1.1,2017-04-25,1150,A,63,6.0NRT,302.3,7,D
41.893,22.475,327.9,1.2,1.1,2017-04-25,1150,A,83,6.0NRT,303.4,23.4,D
41.071,15.706,320.8,1.2,1.1,2017-04-25,1150,A,66,6.0NRT,306.5,13.8,D
41.819,15.961,311.2,1.1,1,2017-04-25,1150,A,65,6.0NRT,292.7,11.4,D
41.953,14.998,321.7,1.2,1.1,2017-04-25,1150,A,79,6.0NRT,302.1,18.4,D
42.884,13.819,311.9,1.3,1.1,2017-04-25,1150,A,51,6.0NRT,296.3,9,D
42.881,13.814,310.1,1.3,1.1,2017-04-25,1150,A,28,6.0NRT,296.6,6.7,D
48.37,30.734,308,4,1.9,2017-04-25,1150,A,59,6.0NRT,294.1,34.6,D
48.77,29.189,308.7,3.3,1.7,2017-04-25,1150,A,52,6.0NRT,293.2,29.1,D
49.037,31.988,304.5,4.7,2,2017-04-25,1150,A,38,6.0NRT,287.2,33.6,D
49.037,31.979,306.3,4.7,2,2017-04-25,1150,A,56,6.0NRT,287.5,44.3,D
48.268,14.335,308.8,1,1,2017-04-25,1150,A,42,6.0NRT,289.4,6.7,D
48.277,14.332,308.5,1,1,2017-04-25,1150,A,28,6.0NRT,289.6,6.2,D
51.922,5.893,312.6,1.8,1.3,2017-04-25,1150,A,65,6.0NRT,285,29.2,D
41.344,-7.521,398.2,1,1,2017-04-25,1330,A,0,6.0NRT,297.7,251.7,D
41.342,-7.533,392.7,1,1,2017-04-25,1330,A,87,6.0NRT,304.8,220.7,D
48.161,30.612,308.5,1.1,1,2017-04-25,1935,T,75,6.0NRT,279.5,14.7,N
57.186,1,307.3,1.1,1,2017-04-25,2120,T,53,6.0NRT,275.7,13.8,N
36.936,30.654,317.3,1,1,2017-04-25,2350,A,95,6.0NRT,282.8,19.6,N
48.487,34.981,304.9,1,1,2017-04-25,2345,A,62,6.0NRT,276.7,11.3,N
48.169,30.614,328.1,1.4,1.2,2017-04-25,2345,A,100,6.0NRT,277.1,49.6,N
48.167,30.633,321.9,1.4,1.2,2017-04-25,2345,A,100,6.0NRT,276.8,38.7,N
53.134,8.686,304.5,1.2,1.1,2017-04-26,0125,A,60,6.0NRT,275.2,15,N
51.494,6.746,302.6,1.4,1.2,2017-04-26,0125,A,24,6.0NRT,275.2,14.4,N
51.485,6.723,302.5,1.4,1.2,2017-04-26,0125,A,24,6.0NRT,275.1,14.1,N
42.684,26.741,315.1,1,1,2017-04-26,0915,T,71,6.0NRT,297.1,10.2,D
42.827,24.75,312.3,1,1,2017-04-26,0915,T,68,6.0NRT,297.3,9.2,D
42.717,24.171,319.5,1.1,1,2017-04-26,0915,T,76,6.0NRT,303.3,12.1,D
41.336,27.479,311.1,1,1,2017-04-26,0915,T,58,6.0NRT,297.8,5.2,D
41.272,27.595,311.6,1,1,2017-04-26,0915,T,42,6.0NRT,300.1,5.5,D
41.395,23.143,309.7,1.1,1.1,2017-04-26,0915,T,32,6.0NRT,298.2,5.4,D
40.267,29.08,315.1,1.2,1.1,2017-04-26,0915,T,19,6.0NRT,302.6,8.9,D
41.069,23.405,320.9,1.1,1,2017-04-26,0915,T,75,6.0NRT,306.6,7,D
40.208,28.941,312.1,1.2,1.1,2017-04-26,0915,T,33,6.0NRT,300.2,7.3,D
40.097,29.506,314.9,1.2,1.1,2017-04-26,0915,T,34,6.0NRT,301.3,8.9,D
40.445,27.134,309.4,1,1,2017-04-26,0915,T,42,6.0NRT,298.7,6.9,D
40.443,27.146,310.4,1,1,2017-04-26,0915,T,45,6.0NRT,297.1,7.4,D
40.158,19.823,306.6,1.6,1.2,2017-04-26,0915,T,50,6.0NRT,291.5,9.8,D
